claim_id,claim_short,retained_status,manuscript_role,statistical_status,source_csv_status,source_csvs,source_data_mirror_status,ci_status,effect_size_status,required_action,caveat
C1,Structural route storage,retained_main,Figure 2; Table 3,partial_needs_human_review,seed_level_available_plus_aggregate_mirrors,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_variant_metrics.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv,present_partial,candidate_table_present_not_final,partial_grouping_review_needed,Review seed-level grouping and effect-size comparisons; keep claim benchmark-specific.,"Exp15 transition MLP variants solve the clean hard slice, so do not claim universal structural-route-storage necessity."
C2,Context/world indexing,retained_main,Figures 2 and 5; Table 4 caveat,partial_needs_human_review,seed_level_available_plus_table4_source_data,experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_seed_metrics.csv; docs/manuscript/source_data/table_04_exp15_neural_comparator.csv,present_partial,candidate_table_present_not_final,partial_grouping_review_needed,"Separate supplied-context indexing, symbolic cue-selected context, and Exp15 first-step/full-route conflict comparisons.",No-context neural suffix success means context necessity must be framed around conflict-sensitive first-step/full-route disambiguation.
C3,Recurrence for composition,retained_main,Figure 2; Table 3,partial_needs_human_review,seed_level_available_plus_aggregate_mirrors,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_variant_metrics.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv,present_partial,candidate_table_present_not_final,partial_grouping_review_needed,Review route-table versus composition comparison grouping before final citation.,Recurrence is not novel by itself; retained claim is storage/execution dissociation inside this benchmark.
C4,Endpoint memorization versus composition,retained_main,Figure 2; Table 4,partial_needs_human_review,seed_level_available_plus_table4_source_data,experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv; docs/manuscript/source_data/table_04_exp15_neural_comparator.csv,present_partial,candidate_table_present_not_final,partial_grouping_review_needed,Review Exp13.2/Exp15 endpoint-vs-transition and recurrence contrasts before final Table 3 use.,Supports decomposition, not a universal architecture ranking.
C5,Clean-context capacity scaling,retained_main,Figure 3; Table 3,partial_aggregate_ceiling,seed_level_available_plus_aggregate_mirror,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv; experiments/experiment12_capacity_generalization/analysis/exp12/metrics.csv,present,candidate_table_present_zero_or_near_zero_variance,needed_if_direct_comparison_is_claimed,Caption as ceiling-limited and avoid fitted capacity-law wording.,No fitted capacity law is present.
C6,Finite structural budget degradation,retained_main,Figure 4; Table 3,partial_needs_human_review,seed_level_available_plus_aggregate_mirror,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv; experiments/experiment13_breaking_point/analysis/metrics.csv,present,candidate_table_present_not_final,needed_if_direct_budget_comparisons_are_claimed,Review selected budget levels and comparisons before final manuscript citation.,Observed degradation curve only; no fitted law.
C7,Local pressure versus global pressure,boundary_or_supplement_only,Figure 4 caveat or supplement,aggregate_only_needs_paired_seed_analysis,aggregate_docs_and_summary_available,docs/experiments/exp13_local_vs_global_budget_comparison.md; experiments/experiment13_breaking_point/analysis/local_capacity_pressure_summary.csv; experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv; experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_budget_consolidation.csv,present_partial,not_final,missing_paired_grouping,Add paired seed-level local-vs-global table before elevating to standalone main claim.,Keep as caveated boundary evidence only.
C8,Consolidation stability/plasticity bias,supplement_or_discussion_only,Supplement/discussion,partial,aggregate_available,experiments/experiment12_capacity_generalization/analysis/exp12/consolidation_pressure_summary.csv; experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_budget_consolidation.csv; experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_freeze_plasticity.csv,present_partial,not_final,needed_if_elevated,Keep preliminary unless dose-response or robustness evidence is added.,Do not claim necessity or accuracy rescue.
C9,Seen versus unseen primitive boundary,not_retained_main,Supplement only if cleaned,incomplete_metric_cleanup_required,aggregate_available_but_split_incomplete,experiments/experiment12_capacity_generalization/analysis/exp12/heldout_generalization_summary.csv; experiments/experiment13_breaking_point/analysis/true_holdout_generalization_summary.csv,present,not_final,missing,Add seen/unseen/all route-table and composition split metrics before central use.,Keep out of main claim set.
C10,Wrong-world or cue-corruption sensitivity,boundary_or_supplement_only,Supplement or narrow boundary discussion,partial,aggregate_available,experiments/experiment13_breaking_point/analysis/context_corruption_summary.csv; experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_context_corruption.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv,present_partial,not_final,partial_grouping_review_needed,Add stochastic corruption only if generic robustness is claimed.,Phrase as wrong-world/cue-evidence sensitivity only.
C11,Continuous/noisy symbolic bridge,supplement_or_future_work,Supplement/future work,aggregate_only,aggregate_available,experiments/experiment13_breaking_point/analysis/continuous_frontend_bridge_summary.csv,present,not_final,optional_if_supplemented,Keep preliminary unless applied bridge becomes central.,Not end-to-end perception.
C12,Baseline coverage and prior-art readiness,retained_discussion_table,Discussion; Table 4,partial_needs_prior_art_and_grouping_review,symbolic_and_minimal_neural_artifacts_available,experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_effect_sizes.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_baseline_metrics.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_effect_sizes.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_seed_metrics.csv; docs/manuscript/source_data/table_04_exp15_neural_comparator.csv,present_partial,table4_source_data_present_but_not_final_ci_table,partial_grouping_review_needed,Verify prior-art citations and decide whether target venue requires memory-augmented/key-value neural comparator.,Exp15 is fixed-profile and non-exhaustive.
C13,Symbolic transition-cue context selection,retained_main_narrow,Figure 5; Table 3,partial_needs_human_review,seed_level_available_plus_effect_size_artifact,experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_effect_sizes.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_metrics.csv; docs/manuscript/source_data/figure_05_symbolic_context_selection.csv,present_partial,candidate_table_present_not_final,artifact_available_grouping_review_needed,Human-review Figure 5/caption and selected comparisons before final use.,Symbolic transition-cue selection only; oracle context-gated table remains an upper bound.
Exp15 replay collapse,Replay transition MLP collapse,non_claim_pending_audit,Do not cite scientifically,not_applicable,artifact_available_but_interpretation_blocked,experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_seed_metrics.csv,not_needed,not_applicable,not_applicable,Audit implementation/training regime before interpretation.,"May reflect bug, undertraining, replay buffer issue, or a real failure mode."
