phase,world_count,route_length,capacity_condition,baseline_variant,comparison_variant,metric,mean_difference_cirm_minus_comparison,cohen_d_cirm_minus_comparison,n_cirm,n_comparison
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_shared_transition_table,route_table_accuracy_all,0.234375,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_seen_routes,0.9375,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.9375,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,route_table_accuracy_all,0.21875,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,route_table_accuracy_all,0.1875,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_seen_routes,0.75,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,route_table_accuracy_all,0.125,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_seen_routes,0.5,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,first_step_context_accuracy,0.5,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,route_table_accuracy_all,0.999462890625,4394.482368991218,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_seen_routes,0.9997395833333333,1763.8987719758122,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_suffix_routes,0.9994574652777778,2797.3703836115087,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_shared_transition_table,route_table_accuracy_all,0.1171875,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_seen_routes,0.9375,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.9375,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,route_table_accuracy_all,0.109375,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,route_table_accuracy_all,0.09375,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_seen_routes,0.75,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,route_table_accuracy_all,0.0625,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_seen_routes,0.5,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,first_step_context_accuracy,0.5,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,8,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_context_gated_transition_table,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_context_gated_transition_table,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,route_table_accuracy_all,0.9997829861111112,8198.216584518043,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_seen_routes,0.9997395833333333,1763.8987719758122,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_suffix_routes,0.9997916666666666,7071.695040289643,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,first_step_context_accuracy,0.9994791666666667,1322.5794777630572,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_shared_transition_table,route_table_accuracy_all,0.078125,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_seen_routes,0.9375,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.9375,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,route_table_accuracy_all,0.07291666666666674,905301787010400.9,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,route_table_accuracy_all,0.0625,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_seen_routes,0.75,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,route_table_accuracy_all,0.04166666666666674,517315306863086.56,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_seen_routes,0.5,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,first_step_context_accuracy,0.5,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,12,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_context_gated_transition_table,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_context_gated_transition_table,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,route_table_accuracy_all,0.999853515625,8975.721776804736,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_seen_routes,0.999609375,1481.778377094068,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_suffix_routes,0.9998418898809524,9353.206518605331,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_shared_transition_table,route_table_accuracy_all,0.05859375,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_seen_routes,0.9375,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.9375,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_16,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,route_table_accuracy_all,0.0546875,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,route_table_accuracy_all,0.046875,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_seen_routes,0.75,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,route_table_accuracy_all,0.03125,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_seen_routes,0.5,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,first_step_context_accuracy,0.5,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,16,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,32,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,32,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,32,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,32,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,first_step_context_accuracy,0.0,0.0,20,20
